severity	rule	token	suggested_token	line	language_table	sid	zh	ko_new	note
수정 후보 높음	ㄹ→ㄴ	루번	누번	889	t_language.xml	101837	楼烦箭主	루번 전주	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	890	t_language.xml	101838	潞氏战士	로씨 전사	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	891	t_language.xml	101839	潞氏狂战士	로씨 광전사	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	892	t_language.xml	101840	潞氏重盔战士	로씨 중궤전사	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	893	t_language.xml	101841	潞氏无面	로씨 무면	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	894	t_language.xml	101842	潞氏弩手	로씨 노수	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	895	t_language.xml	101843	潞氏连弩手	로씨 연노수	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	련	연	1073	t_language.xml	102109	连	련	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	량	양	1074	t_language.xml	102110	良	량	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㅇ	량	양	1101	t_language.xml	102137	梁	량	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄴ→ㅇ	녀	여	1113	t_language.xml	102149	巫医-女	무의-녀	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄴ→ㅇ	녀	여	1115	t_language.xml	102151	傩师-女	나사-녀	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄴ→ㅇ	녀	여	1119	t_language.xml	102155	优伶-女	우령-녀	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄴ→ㅇ	녕	영	1142	t_language.xml	102178	宁	녕	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령	영	1160	t_language.xml	102196	灵	령	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령	영	1161	t_language.xml	102197	泠	령	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	1165	t_language.xml	102201	潞氏无面	로씨 무면	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	1166	t_language.xml	102202	潞氏重盔战士	로씨 중궤전사	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	1167	t_language.xml	102203	潞氏狂战士	로씨 광전사	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	1168	t_language.xml	102204	潞氏战士	로씨 전사	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	1169	t_language.xml	102205	潞氏荒流蚁髅	로씨 황류의루	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	1170	t_language.xml	102206	潞氏奔战尹	로씨 분전윤	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	1171	t_language.xml	102207	潞氏中阶平民	로씨 중계 평민	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	1172	t_language.xml	102208	潞氏平民	로씨 평민	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	1173	t_language.xml	102209	潞氏弩手	로씨 노수	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로씨	노씨	1174	t_language.xml	102210	潞氏连弩手	로씨 연노수	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령언	영언	1183	t_language.xml	102219	灵偃	령언	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	련권	연권	1193	t_language.xml	102229	连蜷	련권	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	륙리	육리	1203	t_language.xml	102239	陆离	륙리	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	라생	나생	1206	t_language.xml	102242	罗生	라생	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㄴ	락막	낙막	1208	t_language.xml	102244	乐莫	락막	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㄴ	라	나	1221	t_language.xml	102257	萝	라	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	란정	난정	1253	t_language.xml	102289	兰旌	란정	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㄴ	록	녹	1284	t_language.xml	102320	渌	록	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㄴ	래	내	1286	t_language.xml	102322	睐	래	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㄴ	루	누	1355	t_language.xml	102391	累	루	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㄴ	뢰귀	뇌귀	1380	t_language.xml	102421	雷鬼	뢰귀	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	립	입	1473	t_language.xml	102516	立	립	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령	영	1498	t_language.xml	102541	灵	령	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	란	난	1522	t_language.xml	102565	兰	란	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	록	녹	1529	t_language.xml	102572	绿	록	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령	영	1541	t_language.xml	102584	伶	령	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령	영	1550	t_language.xml	102593	灵	령	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령상	영상	1555	t_language.xml	102598	领象	령상	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	렵수	엽수	1556	t_language.xml	102599	鬣首	렵수	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	련횡	연횡	1580	t_language.xml	102623	连横弟子	련횡 제자	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	랭	냉	1592	t_language.xml	102635	冷	랭	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령	영	1598	t_language.xml	102641	苓	령	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	련	연	1615	t_language.xml	102658	练	련	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	렬강	열강	1621	t_language.xml	102664	裂钢玄兕	렬강 현시	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	렬염	열염	1633	t_language.xml	102676	烈炎赤豹	렬염 적표	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	류사비	유사비	1644	t_language.xml	102687	流沙罴	류사비	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	류사비왕	유사비왕	1645	t_language.xml	102688	流沙罴王	류사비왕	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	려행	여행	1735	t_language.xml	104130	旅行速度	려행 속도	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㄴ	릉자검방패	능자검방패	1754	t_language.xml	105013	棱刺剑盾	릉자검방패	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	룡아호익	용아호익	1788	t_language.xml	105047	龙牙虎翼	룡아호익	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	렬지	열지	1798	t_language.xml	105057	裂地	렬지	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	류성	유성	1803	t_language.xml	105062	流星	류성	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	랑야	낭야	1804	t_language.xml	105063	狼牙	랑야	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	뢰명	뇌명	1810	t_language.xml	105069	雷鸣双锤	뢰명 쌍퇴	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	뢰명	뇌명	1824	t_language.xml	105083	雷鸣	뢰명	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	룡염	용염	1828	t_language.xml	105087	龙炎	룡염	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	련주	연주	1849	t_language.xml	105108	连珠	련주	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	련철속	연철속	1896	t_language.xml	105195	炼铁束	련철속	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㄴ	람우포	남우포	1936	t_language.xml	105235	蓝虞袍	람우포	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령목검	영목검	2017	t_language.xml	105320	灵木剑	령목검	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	뢰격목	뇌격목	2022	t_language.xml	105325	雷击木	뢰격목	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	략지서	약지서	2039	t_language.xml	105342	掠地书	략지서	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	류선옥	유선옥	2044	t_language.xml	105347	流璇玉	류선옥	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㄴ	릉상협	능상협	2045	t_language.xml	105348	凌霜匣	릉상협	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	령구갑	영구갑	2052	t_language.xml	105355	灵龟甲	령구갑	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	랑야봉	낭야봉	2082	t_language.xml	105385	狼牙棍	랑야봉	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	렵마	엽마	2094	t_language.xml	105397	胡骑猎马	호기 렵마	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㅇ	렵마	엽마	2097	t_language.xml	105400	雪境猎马	설경 렵마	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	륜어	윤어	2098	t_language.xml	105401	抡语	륜어	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	렬갑창	열갑창	2128	t_language.xml	105436	虬龙裂甲枪	규룡 렬갑창	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㅇ	련노	연노	2134	t_language.xml	105442	朱雀连弩	주작 련노	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	렬진갑	열진갑	2163	t_language.xml	105471	列阵甲	렬진갑	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	룡린갑	용린갑	2183	t_language.xml	105491	龙鳞甲	룡린갑	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령인복	영인복	2234	t_language.xml	105542	伶人服	령인복	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령지	영지	2318	t_language.xml	106094	灵芝	령지	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	람전옥	남전옥	2342	t_language.xml	106118	蓝田玉	람전옥	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령지주	영지주	2431	t_language.xml	106334	灵芝酒	령지주	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄴ→ㅇ	녕혈방	영혈방	2433	t_language.xml	106336	下品宁血方	하품 녕혈방	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㄴ	란신독	난신독	2444	t_language.xml	106347	下品乱神毒	하품 란신독	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄴ→ㅇ	녕혈방	영혈방	2445	t_language.xml	106348	中品宁血方	중품 녕혈방	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㄴ	란신독	난신독	2456	t_language.xml	106359	中品乱神毒	중품 란신독	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄴ→ㅇ	녕혈방	영혈방	2457	t_language.xml	106360	上品宁血方	상품 녕혈방	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㄴ	란신독	난신독	2468	t_language.xml	106371	上品乱神毒	상품 란신독	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄴ→ㅇ	녕각단	영각단	2471	t_language.xml	106374	追风宁觉丹	추풍 녕각단	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㄴ	뢰사	뇌사	2550	t_language.xml	106453	耒耜	뢰사	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령약	영약	2568	t_language.xml	106526	灵药	령약	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	림목	임목	2570	t_language.xml	106528	林木	림목	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령지	영지	2611	t_language.xml	106731	灵芝	령지	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령지주	영지주	2697	t_language.xml	106817	灵芝酒	령지주	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄴ→ㅇ	녕각단	영각단	2713	t_language.xml	106833	追风宁觉丹	추풍 녕각단	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㄴ	로송	노송	2754	t_language.xml	106874	诗经·鲁颂	시경·로송	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	례기	예기	2760	t_language.xml	106880	礼记·曲礼	례기·곡례	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	례기	예기	2761	t_language.xml	106881	礼记·大学	례기·대학	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	례기	예기	2762	t_language.xml	106882	礼记·中庸	례기·중용	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2766	t_language.xml	106886	论语·学而	론어·학이	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2767	t_language.xml	106887	论语·为政	론어·위정	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2768	t_language.xml	106888	论语·八佾	론어·팔일	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2769	t_language.xml	106889	论语·里仁	론어·리인	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	리인	이인	2769	t_language.xml	106889	论语·里仁	론어·리인	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2770	t_language.xml	106890	论语·公冶长	론어·공야장	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2771	t_language.xml	106891	论语·雍也	론어·옹야	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2772	t_language.xml	106892	论语·述而	론어·술이	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2773	t_language.xml	106893	论语·泰伯	론어·태백	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2774	t_language.xml	106894	论语·子罕	론어·자한	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2775	t_language.xml	106895	论语·乡党	론어·향당	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2776	t_language.xml	106896	论语·先进	론어·선진	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2777	t_language.xml	106897	论语·颜渊	론어·안연	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2778	t_language.xml	106898	论语·子路	론어·자로	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2779	t_language.xml	106899	论语·宪问	론어·헌문	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2780	t_language.xml	106900	论语·卫灵公	론어·위령공	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2781	t_language.xml	106901	论语·季氏	론어·계씨	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2782	t_language.xml	106902	论语·阳货	론어·양화	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2783	t_language.xml	106903	论语·微子	론어·미자	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2784	t_language.xml	106904	论语·子张	론어·자장	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	론어	논어	2785	t_language.xml	106905	论语·尧曰	론어·요왈	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	량혜왕	양혜왕	2786	t_language.xml	106906	孟子·梁惠王	맹자·량혜왕	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㅇ	리루	이루	2789	t_language.xml	106909	孟子·离娄	맹자·리루	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
검토 필요	ㄹ→ㄴ	로문	노문	2829	t_language.xml	106949	墨子·鲁问	묵자·로문	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	렬자	열자	2838	t_language.xml	106958	列子·天瑞	렬자·천서	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
